Planilha;Database
TFM/066/2019/SMDHC/CPCA;TCL/021/2024/SMDHC/CPLGBTI
TFM/068/2019/SMDHC/CPM;TCL/022/2023/SMDHC/SESANA
TFM/064/2019/SMDHC/CPLGBTI;TCL/022/2024/SMDHC/CPLGBTI
TFM/073/2019/SMDHC/CPDDH;TCL/023/2023/SMDHC/SESANA
TFM/074/2019/SMDHC/CPLGBTI;TCL/023/2024/SMDHC/CPLGBTI
TFM/072/2019/SMDHC/CPDDH;TCL/024/2023/SMDHC/SESANA
TFM/078/2019/SMDHC/CPPI;TCL/024/2024/SMDHC/CPLGBTI
TFM/067/2019/SMDHC/CPPSR;TCL/025/2022/SMADS/CPM
TFM/081/2019/SMDHC/CPCA;TCL/025/2023/SMDHC/SESANA
TFM/083/2019/SMDHC/CMMV;TCL/026/2023/SMDHC/SESANA
TFM/085/2019/SMDHC/CMMV;TCL/027/2023/SMDHC/SESANA
TFM/079/2019/SMDHC/CPCA;TCL/028/2023/SMDHC/SESANA
TFM/080/2019/SMDHC/CPIR;TCL/029/2022/SMADS/CPM
TFM/082/2019/SMDHC/CPCA;TCL/029/2023/SMDHC/SESANA
TFM/084/2019/SMDHC/CPJ;TCL/030/2023/SMDHC/SESANA
TFM/086/2019/SMDHC/CPDDH;TCL/031/2023/SMDHC/SESANA
TFM/087/2019/SMDHC/CPDDH;TCL/032/2023/SMDHC/SESANA
TFM/089/2019/SMDHC/CPDDH;TCL/033/2023/SMDHC/SESANA
TFM/015/2020/SMDHC/CPPSR;TCL/034/2023/SMDHC/SESANA
TFM/014/2020/SMDHC/CPCA;TCL/035/2023/SMDHC/SESANA
TFM/030/2020/SMDHC/CPLGBTI;TCL/036/2023/SMDHC/SESANA
TFM/036/2020/SMDHC/CPJ;TCL/037/2023/SMDHC/SESANA
TFM/035/2020/SMDHC/CPJ;TCL/038/2023/SMDHC/SESANA
TFM/039/2020/SMDHC/DEDH;TCL/039/2023/SMDHC/SESANA
TFM/038/2020/SMDHC/CPPSR;TCL/040/2023/SMDHC/SESANA
TFM/041/2020/SMDHC/CPIR;TCL/041/2023/SMDHC/SESANA
TFM/034/2020/SMDHC/CPPSR;TCL/042/2023/SMDHC/SESANA
TFM/048/2020/SMDHC/CPM;TCL/043/2023/SMDHC/SESANA
TFM/049/2020/SMDHC/CPM;TCL/044/2023/SMDHC/SESANA
TFM/050/2020/SMDHC/CPPSR;TCL/045/2023/SMDHC/SESANA
TFM/054/2020/SMDHC/CPLGBTI;TCL/046/2023/SMDHC/SESANA
TFM/055/2020/SMDHC/DEDH;TCL/047/2023/SMDHC/SESANA
TFM/021/2020/SMDHC/CPM;TCL/048/2023/SMDHC/SESANA
TFM/059/2020/SMDHC/CPLGBTI;TCL/049/2023/SMDHC/SESANA
TFM/065/2020/SMDHC/CPLGBTI;TCL/050/2023/SMDHC/SESANA
TFM/062/2020/SMDHC/CPLGBTI;TCL/051/2023/SMDHC/CPM
TFM/042/2020/SMDHC/CPCA;TCL/052/2023/SMDHC/CPM
TFM/057/2020/SMDHC/DEDH;TCL/053/2023/SMDHC/CPM
TFM/058/2020/SMDHC/DEDH;TCL/054/2023/SMDHC/CPM
TFM/053/2020/SMDHC/CPJ;TCL/055/2023/SMDHC/SESANA
TFM/052/2020/SMDHC/CPPSR;TCL/056/2023/SMDHC/SESANA
TFM/069/2020/SMDHC/CPPI;TCL/057/2023/SMDHC/SESANA
TFM/068/2020/SMDHC/CPPSR;TCL/058/2023/SMDHC/SESANA
TFM/074/2020/SMDHC/CPIR;TCL/059/2023/SMDHC/SESANA
TFM/071/2020/SMDHC/CPJ;TCL/060/2023/SMDHC/SESANA
TFM/067/2020/SMDHC/CPCA;TCL/061/2023/SMDHC/ODH
TFM/064/2020/SMDHC/CPM;TCL/062/2023/SMDHC/ODH
TFM/076/2020/SMDHC/CPPI;TCL/063/2023/SMDHC/ODH
TFM/079/2020/SMDHC/CPM;TCL/064/2023/SMDHC/SESANA
TFM/075/2020/SMDHC/CPCA;TCL/065/2023/SMDHC/SESANA
TFM/070/2020/SMDHC/CPIPTD;TCL/066/2023/SMDHC/CPIR
TFM/081/2020/SMDHC/CPIPTD;TCL/067/2023/SMDHC/CPIR
TFM/073/2020/SMDHC/CPD;TCL/068/2023/SMDHC/CPIR
TFM/077/2020/SMDHC/CPM;TCL/069/2023/SMDHC/CPIR
TFM/078/2020/SMDHC/CPPSR;TCL/070/2023/SMDHC/CPPSR
TFM/080/2020/SMDHC/CPCA;TCL/071/2023/SMDHC/SESANA
TFM/083/2020/SMDHC/DEDH;TCL/072/2023/SMDHC/SESANA
TFM/084/2020/SMDHC/CPM;TCL/073/2023/SMDHC/SESANA
TFM/082/2020/SMDHC/CPJ;TCL/075/2023/SMADS/CPM
TFM/072/2020/SMDHC/CPPSR;TCL/103/2020/SMADS/CPM
TFM/032/2020/SMDHC/CPM;TCL/130/2024/SMADS/CPM
TFM/026/2021/SMDHC/CPCA;TCL/192/2021/SMADS/CPM
TFM/032/2021/SMDHC/DEDH;TCL/214/2019/SMADS/CPM
TFM/033/2021/SMDHC/CPJ;TCL/229/2023/SMADS/CPM
TFM/061/2021/SMDHC/DEDH;TCL/230/2019/SMADS/CPLGBTI
TFM/049/2021/SMDHC/CPPSR;TCL/286/2023/SMADS/CPM
TFM/051/2021/SMDHC/CPM;TCL/301/2021/SMADS/CPM
TFM/052/2021/SMDHC/DEDH;TCL/315/2023/SMADS/CPM
TFM/058/2021/SMDHC/CPCA;TCL/410/2018/SMADS/CPPSR
TFM/059/2021/SMDHC/DEDH;TCL/459/2023/SMADS/CPM
TFM/060/2021/SMDHC/CPJ;TCL/503/2023/SMADS/CPM
TFM/062/2021/SMDHC/CPPSR;TCL/506/2018/SMDHC/CPPSR
TFM/069/2021/SMDHC/CPJ;TCL/566/2023/SMADS/CPM
TFM/071/2021/SMDHC/CPJ;TCL/624/2023/SMADS/CPM
TFM/072/2021/SMDHC/CPIR;TCP/007/2022/SMDHC/CPLGBTI
TFM/073/2021/SMDHC/CPPSR;TCP/1001601901/2020/SMDHC/CPM
TFM/074/2021/SMDHC/CPIPTD;TCP/XXX/2021/SMDHC/CPM
TFM/075/2021/SMDHC/CPM;TCV/001/2006/SMC/FUMCAD
TFM/076/2021/SMDHC/CPPSR;TCV/001/2007/SEPP/FUMCAD
TFM/077/2021/SMDHC/CPPSR;TCV/001/2008/SMPP/CPLGBTI
TFM/078/2021/SMDHC/CPCA;TCV/001/2008/SMPP/FUMCAD
TFM/079/2021/SMDHC/DEDH;TCV/001/2011/SMPP/CPD
TFM/080/2021/SMDHC/CPPSR;TCV/001/2013/SMPIR/CPIR
TFM/082/2021/SMDHC/DEDH;TCV/001/2014/SMDHC/FUMCAD
TFM/083/2021/SMDHC/DEDH;TCV/001/2015/SMDHC/FUMCAD
TFM/051/2022/SMDHC/CPCA;TCV/001/2016/SMDHC/FUMCAD
TFM/050/2022/SMDHC/CPCA;TCV/001/2016/SMPM/CPM
TFM/059/2022/SMDHC/CPLGBTI;TCV/001/2017/SMDHC/FUMCAD
TFM/060/2022/SMDHC/CPCA;TCV/001/2018/SMDHC/FUMCAD
TFM/064/2022/SMDHC/CPJ;TCV/001/2019/SMDHC/FUMCAD
TFM/061/2021/SMDHC/CPM;TCV/001/2020/SME-SMDHC/FUMCAD
TFM/062/2021/SMDHC/CPM;TCV/002/2006/SEPP/CPLGBTI
TFM/063/2022/SMDHC/CPM;TCV/002/2007/CADS/CPLGBTI
TFM/068/2022/SMDHC/CIDADESOLIDÁRIA;TCV/002/2007/SEPP/FUMCAD
TFM/066/2022/SMDHC/CPM;TCV/002/2008/SEPP/CPLGBTI
TFM/067/2022/SMDHC/CPPSR;TCV/002/2008/SMPP/FUMCAD
TFM/069/2022/SMDHC/DEDH;TCV/002/2009/SMPP/FUMCAD
TFM/070/2022/SMDHC/CPJ;TCV/002/2011/SMPP/FUMCAD
TFM/071/2022/SMDHC/CPPSR;TCV/002/2013/SMDHC/FUMCAD
TFM/072/2022/SMDHC/CPM;TCV/002/2013/SMPIR/CPIR
TFM/073/2022/SMDHC/CPJ;TCV/002/2014/SMDHC/FUMCAD
TFM/077/2022/SMDHC/CPCA;TCV/002/2015/SMDHC/FUMCAD
TFM/074/2022/SMDHC/CPPI;TCV/002/2016/SMDHC/FUMCAD
TFM/075/2022/SMDHC/DEDH;TCV/002/2016/SMPM/CPM
TFM/076/2022/SMDHC/CPIPTD;TCV/002/2017/SMDHC/FUMCAD
TFM/084/2022/SMDHC/CPIPTD;TCV/002/2018/SMDHC/FUMCAD
TFM/085/2022/SMDHC/CPPSR;TCV/002/2020/SMC-SMDHC/CPIR
TFM/087/2022/SMDHC/CPM;TCV/003/2006/SMC/FUMCAD
TFM/090/2022/SMDHC/DEDH;TCV/003/2007/SEPP/FUMCAD
TFM/091/2022/SMDHC/CPPI;TCV/003/2008/SMPP/CPLGBTI
TFM/088/2022/SMDHC/CPM;TCV/003/2008/SMPP/FUMCAD
TFM/094/2022/SMDHC/CPIR;TCV/003/2009/SMPP/FUMCAD
TFM/092/2022/SMDHC/CPM;TCV/003/2011/SMPP/FUMCAD
TFM/095/2022/SMDHC/CPJ;TCV/003/2013/SMDHC/FUMCAD
TFM/089/2022/SMDHC/CPM;TCV/003/2014/SMDHC/FUMCAD
TFM/104/2022/SMDHC/CPM;TCV/003/2015/SMDHC/FUMCAD
TFM/098/2022/SMDHC/CPM;TCV/003/2016/SMDHC/FUMCAD
TFM/106/2022/SMDHC/CPLGBTI;TCV/003/2016/SMPM/CPM
TFM/113/2022/SMDHC/CPLGBTI;TCV/003/2017/SMDHC/FUMCAD
TFM/101/2022/SMDHC/CPLGBTI;TCV/003/2018/SMDHC/FUMCAD
TFM/105/2022/SMDHC/CPIR;TCV/004/2006/SMC/FUMCAD
TFM/107/2022/SMDHC/CPCA;TCV/004/2007/SEPP/FUMCAD
TFM/100/2022/SMDHC/CPM;TCV/004/2008/SMPP/FUMCAD
TFM/111/2022/SMDHC/CPM;TCV/004/2009/SMPP/FUMCAD
TFM/115/2022/SMDHC/CPIPTD;TCV/004/2013/SMDHC/FUMCAD
TFM/114/2022/SMDHC/CPIR;TCV/004/2014/SMDHC/FUMCAD
TFM/102/2022/SMDHC/CPPI;TCV/004/2015/SMDHC/FUMCAD
TFM/119/2022/SMDHC/CPPSR;TCV/004/2016/SMDHC/FUMCAD
TFM/116/2022/SMDHC/CPJ;TCV/004/2017/SMDHC/FUMCAD
TFM/117/2022/SMDHC/CPIPTD;TCV/004/2018/SMDHC/FUMCAD
TFM/099/2022/SMDHC/CPJ;TCV/005/2008/SMPP/CPLGBTI
TFM/093/2022/SMDHC/CPLGBTI;TCV/005/2008/SMPP/FUMCAD
TFM/118/2022/SMDHC/CPM;TCV/005/2009/SMPP/FUMCAD
TFM/103/2022/SMDHC/CPPSR;TCV/005/2013/SMDHC/FUMCAD
TFM/121/2022/SMDHC/CPPSR;TCV/005/2014/SMDHC/FUMCAD
TFM/122/2022/SMDHC/DEDH;TCV/005/2015/SMDHC/FUMCAD
TFM/120/2022/SMDHC/CPCA;TCV/005/2016/SMDHC/FUMCAD
TFM/112/2022/SMDHC/CPLGBTI;TCV/005/2017/SMDHC/FUMCAD
TFM/123/2022/SMDHC/CPPI;TCV/005/2018/SMDHC/FUMCAD
TFM/125/2022/SMDHC/CPPSR;TCV/006/2006/SEPP/FUMCAD
TFM/126/2022/SMDHC/CPCA;TCV/006/2008/SMPP/CPLGBTI
TFM/124/2022/SMDHC/DEDH;TCV/006/2008/SMPP/FUMCAD
TFM/080/2022/SMDHC/CPPSR;TCV/006/2009/SMPP/FUMCAD
TFM/128/2022/SMDHC/CPPSR;TCV/006/2010/SMPP/FUMCAD
TFM/129/2022/SMDHC/DEDH;TCV/006/2013/SMDHC/FUMCAD
TFM/131/2022/SMDHC/DEDH;TCV/006/2014/SMDHC/FUMCAD
TFM/130/2022/SMDHC/CPLGBTI;TCV/006/2015/SMDHC/CPJ
TFM/132/2022/SMDHC/DEDH;TCV/006/2016/SMDHC/FUMCAD
TFM/133/2022/SMDHC/CPIR;TCV/006/2017/SMDHC/FUMCAD
TFM/134/2022/SMDHC/CPPI;TCV/007/2006/SEPP/FUMCAD
TFM/135/2022/SMDHC/CPPI;TCV/007/2006/SMC/FUMCAD
TFM/136/2022/SMDHC/DEDH;TCV/007/2008/SMPP/FUMCAD
TFM/138/2022/SMDHC/CPIPTD;TCV/007/2009/SMPP/FUMCAD
TFM/137/2022/SMDHC/CPIPTD;TCV/007/2010/SMPP/FUMCAD
TFM/143/2022/SMDHC/CIDADESOLIDÁRIA;TCV/007/2013/SMDHC/FUMCAD
TFM/145/2022/SMDHC/CPPSR;TCV/007/2014/SMDHC/FUMCAD
TFM/141/2022/SMDHC/DEDH;TCV/007/2015/SMDHC/CPJ
TFM/142/2022/SMDHC/COPIND;TCV/007/2016/SMDHC/FUMCAD
TFM/140/2022/SMDHC/CPIR;TCV/007/2017/SMDHC/FUMCAD
TFM/146/2022/SMDHC/CPIPTD;TCV/007/2018/SMDHC/FUMCAD
TFM/144/2022/SMDHC/CPPSR;TCV/008/2006/SEPP/FUMCAD
TFM/139/2022/SMDHC/CPLGBTI;TCV/008/2006/SMC/FUMCAD
TFM/147/2022/SMDHC/CPJ;TCV/008/2008/SMPP/CPLGBTI
TFM/148/2022/SMDHC/CPPI;TCV/008/2008/SMPP/FUMCAD
TFM/149/2022/SMDHC/CPJ;TCV/008/2009/SMPP/FUMCAD
TFM/150/2022/SMDHC/CPPSR;TCV/008/2010/SMPP/FUMCAD
TFM/151/2022/SMDHC/CPM;TCV/008/2013/SMDHC/FUMCAD
TFM/152/2022/SMDHC/CPCA;TCV/008/2014/SMDHC/FUMCAD
TCL/001/2017/SMDHC/CPLGBTI;TCV/008/2015/SMDHC/CPJ
TCL/002/2017/SMDHC/CPLGBTI;TCV/008/2016/SMDHC/FUMCAD
TCL/003/2017/SMDHC/CPLGBTI;TCV/008/2017/SMDHC/FUMCAD
TCL/004/2017/SMDHC/CPLGBTI;TCV/009/2006/SEPP/FUMCAD
TCL/005/2017/SMDHC/CPIPTD;TCV/009/2007/SEPP/FUMCAD
TCL/001/2018/SMDHC/CPCA;TCV/009/2008/SMPP/FUMCAD
TCL/002/2018/SMDHC/CPIR;TCV/009/2009/SMPP/FUMCAD
TCL/003/2018/SMDHC/CPIR;TCV/009/2010/SMPP/FUMCAD
TCL/004/2018/SMDHC/ODH;TCV/009/2011/SMPP/FUMCAD
TCL/001/2019/SMDHC/CPM;TCV/009/2013/SMDHC/FUMCAD
TCL/004/2019/SMDHC/CPLGBTI;TCV/009/2014/SMDHC/FUMCAD
TCL/002/2019/SMDHC/CPM;TCV/009/2015/SMDHC/CPJ
TCL/005/2019/SMDHC/CPLGBTI;TCV/009/2016/SMDHC/FUMCAD
TCL/006/2019/SMDHC/CPLGBTI;TCV/009/2017/SMDHC/FUMCAD
TCL/007/2019/SMDHC/CPLGBTI;TCV/010/2006/SMC/FUMCAD
TCL/008/2019/SMDHC/CPM;TCV/010/2007/SEPP/FUMCAD
TCL/001/2020/SMDHC/CPPSR;TCV/010/2008/SMPP/FUMCAD
TCL/003/2020/SMDHC/CPDDH;TCV/010/2009/SMPP/FUMCAD
TCL/004/2020/SMDHC/CPLGBTI;TCV/010/2010/SMPP/FUMCAD
TCL/005/2020/SMDHC/ODH;TCV/010/2011/SMPP/FUMCAD
TCL/006/2020/SMDHC/ODH;TCV/010/2013/SMDHC/FUMCAD
TCL/007/2020/SMDHC/ODH;TCV/010/2014/SMDHC/FUMCAD
TCL/230/2019/SMADS/CPLGBTI;TCV/010/2015/SMDHC/CPJ
TCL/410/2018/SMADS/CPPSR;TCV/010/2016/SMDHC/FUMCAD
TCL/506/2018/SMDHC/CPPSR;TCV/010/2017/SMDHC/FUMCAD
TCL/001/2021/SMDHC/CPIR;TCV/011/2006/SEME/FUMCAD
TCL/002/2021/SMDHC/CPPSR;TCV/011/2006/SMC/FUMCAD
TCL/003/2021/SMDHC/ODH;TCV/011/2007/SEPP/FUMCAD
TCL/002/2022/SMDHC/ODH;TCV/011/2008/SMPP/FUMCAD
TCL/003/2022/SMDHC/CPIR;TCV/011/2009/SMPP/FUMCAD
TCL/005/2022/SMDHC/ODH;TCV/011/2010/SMPP/FUMCAD
TCL/006/2022/SMDHC/ODH;TCV/011/2011/SMPP/FUMCAD
TCL/009/2022/SMDHC/ODH;TCV/011/2013/SMDHC/FUMCAD
TCL/008/2022/SMDHC/CPIR;TCV/011/2014/SMDHC/FUMCAD
TCL/007/2022/SMDHC/CPJ;TCV/011/2015/SMDHC/CPJ
TCL/004/2023/SMDHC/CPIR;TCV/011/2016/SMDHC/FUMCAD
TCL/001/2023/SMDHC/ODH;TCV/011/2017/SMDHC/FUMCAD
TCL/002/2023/SMDHC/ODH;TCV/012/2006/SEPP/FUMCAD
TCL/005/2023/SMDHC/ODH;TCV/012/2007/SEPP/FUMCAD
TCL/003/2023/SMDHC/CPPSR;TCV/012/2008/SMPP/FUMCAD
TCV/001/2018/SMDHC/FUMCAD;TCV/012/2009/SMPP/FUMCAD
TFM/001/2018/SMDHC/FUMCAD;TCV/012/2010/SMPP/FUMCAD
TCV/002/2018/SMDHC/FUMCAD;TCV/012/2011/SMPP/FUMCAD
TFM/002/2018/SMDHC/FUMCAD;TCV/012/2013/SMDHC/FUMCAD
TCV/003/2018/SMDHC/FUMCAD;TCV/012/2014/SMDHC/FUMCAD
TFM/003/2018/SMDHC/FUMCAD;TCV/012/2015/SMDHC/CPJ
TCV/004/2018/SMDHC/FUMCAD;TCV/012/2016/SMDHC/FUMCAD
TFM/004/2018/SMDHC/FUMCAD;TCV/012/2017/SMDHC/FUMCAD
TCV/005/2018/SMDHC/FUMCAD;TCV/013/2006/SEPP/FUMCAD
TFM/005/2018/SMDHC/FUMCAD;TCV/013/2006/SMADS/FUMCAD
TCV/025/2018/SMDHC/FUMCAD;TCV/013/2006/SMC/FUMCAD
TFM/006/2018/SMDHC/FUMCAD;TCV/013/2008/SMPP/FUMCAD
TCV/007/2018/SMDHC/FUMCAD;TCV/013/2009/SMPP/FUMCAD
TFM/007/2018/SMDHC/FUMCAD;TCV/013/2010/SMPP/FUMCAD
TFM/008/2018/SMDHC/FUMCAD;TCV/013/2011/SMPP/FUMCAD
TFM/009/2018/SMDHC/FUMCAD;TCV/013/2013/SMDHC/FUMCAD
TFM/010/2018/SMDHC/FUMCAD;TCV/013/2014/SMDHC/FUMCAD
TFM/011/2018/SMDHC/FUMCAD;TCV/013/2015/SMDHC/CPJ
TFM/012/2018/SMDHC/FUMCAD;TCV/013/2016/SMDHC/FUMCAD
TFM/014/2018/SMDHC/FUMCAD;TCV/013/2017/SMDHC/FUMCAD
TFM/015/2018/SMDHC/FUMCAD;TCV/014/2006/SEPP/FUMCAD
TFM/013/2018/SMDHC/FUMCAD;TCV/014/2007/SEPP/FUMCAD
TFM/016/2018/SMDHC/FUMCAD;TCV/014/2008/SMPP/FUMCAD
TFM/017/2018/SMDHC/FUMCAD;TCV/014/2009/SMPP/FUMCAD
TFM/018/2018/SMDHC/FUMCAD;TCV/014/2010/SMPP/FUMCAD
TFM/019/2018/SMDHC/FUMCAD;TCV/014/2013/SMDHC/FUMCAD
TFM/020/2018/SMDHC/FUMCAD;TCV/014/2014/SMDHC/FUMCAD
TFM/021/2018/SMDHC/FUMCAD;TCV/014/2015/SMDHC/CPJ
TFM/022/2018/SMDHC/FUMCAD;TCV/014/2016/SMDHC/FUMCAD
TFM/023/2018/SMDHC/FUMCAD;TCV/014/2017/SMDHC/FUMCAD
TFM/025/2018/SMDHC/FUMCAD;TCV/015/2006/SEPP/FUMCAD
TFM/026/2018/SMDHC/FUMCAD;TCV/015/2008/SMPP/FUMCAD
TFM/027/2018/SMDHC/FUMCAD;TCV/015/2009/SMPP/FUMCAD
TFM/028/2018/SMDHC/FUMCAD;TCV/015/2010/SMPP/FUMCAD
