numero_termo,osc,projeto,tipo_termo,portaria,cnpj,inicio,final,meses,total_previsto,total_pago,conta,transicao,sei_celeb,sei_pc,endereco,sei_plano,sei_orcamento,contrapartida
TCV/006/2015/SMDHC/CPJ,A Banca,Quebrando Bolhas,Convênio,,10921100000000,2015-05-20,2015-11-18,7,49840.0,49840.0,,,,6074200000000000,,,,
TCV/007/2015/SMDHC/CPJ,"Ação Educativa - Assessoria, Pesquisa e Informação",Rede Paulista de Futebol Callejero (Futebol de Rua) - Pela Prática do Esporte Colaborativo e Garantia dos Direitos Humanos,Convênio,,134362000000,2015-05-20,2015-11-18,7,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TCV/008/2015/SMDHC/CPJ,"ANDHEP: Associação Nacional de Direitos Humanos, Pesquisa e Pós-Gradução",Cartografias da Memória,Convênio,,6991770000000,2015-05-20,2016-01-18,9,50000.0,50000.0,,,,6074200000000000,,,,
TCV/009/2015/SMDHC/CPJ,CEAC: Centro de Estudos Apolônio de Carvalho,Batucada Popular Carlos Marighella,Convênio,,7924830000000,2015-05-15,2016-01-15,9,48378.5,48378.5,,,,6074200000000000,,,,
TCV/010/2015/SMDHC/CPJ,Arrastão Movimento de Promoção Humana,Juventude Cultural,Convênio,,43082200000000,2015-05-20,2016-01-18,9,47341.36,47341.36,,,,6074200000000000,,,,
TCV/011/2015/SMDHC/CPJ,Instituição Maria José Educar,Batuquedum,Convênio,,5099720000000,2015-05-20,2016-01-18,9,50000.0,50000.0,,,,201404000000,,,,
TCV/012/2015/SMDHC/CPJ,Associação Cultural Recreativa Esportiva Bloco do Beco,Maracatu para Todos - Valorizando as Culturas AfroBrasileiras,Convênio,,6042420000000,2015-05-20,2016-01-18,9,50000.0,50000.0,,,,6074200000000000,,,,
TCV/013/2015/SMDHC/CPJ,CAF: Casa Assistência Filadélfia,"Meu corpo, meu bem",Convênio,,664464000000,,,0,0.0,0.0,,,,201404000000,,,,
TCV/014/2015/SMDHC/CPJ,CEBRAP: Centro Brasileiro de Análise e Planejamento,Jovens Promotores(as) Legais Populares; Protagonistas de Seus Direitos e Territórios,Convênio,,62579200000000,2015-05-20,2015-11-18,7,49998.94,49998.94,,,,6074200000000000,,,,
TCV/016/2015/SMDHC/CPJ,Instituto Social Dandara de Sustentabilidade e Cidadania,Sound System Graffti: Musicalmente Pintando a Quebrada,Convênio,,11942300000000,2015-06-10,2015-12-09,7,50000.0,50000.0,,,,6074200000000000,,,,
TCV/017/2015/SMDHC/CPJ,"Instituto de Juventude, Iniciação, Formação e Capacitação Profissional ""Daniel Comboni""",Comunica #Ação de Web Rádio,Convênio,,1817590000000,2015-04-13,2016-01-08,10,49818.7,49818.7,,,,6074200000000000,,,,
TCV/018/2015/SMDHC/CPJ,Centro de Convivência É de Lei,Território Maravilha,Convênio,,4893580000000,2015-05-20,2016-01-18,9,48776.0,48776.0,,,,6074200000000000,,,,
TCV/019/2015/SMDHC/CPJ,Instituto Nação / AfroBase,Afrobase,Convênio,,1110700000000,2015-05-20,2015-10-19,6,49776.14,49776.14,,,,6074200000000000,,,,
TCV/020/2015/SMDHC/CPJ,Associação de Moradores do Jardim Comercial e Adjacências,Reflexão Ativa Periférica,Convênio,,52164200000000,2015-05-20,2016-01-18,9,49739.4,49739.4,,,,6074200000000000,,,,
TCV/021/2015/SMDHC/CPJ,Mudança de Cena,Em Quadro - Diálogos por uma Juventude Viva,Convênio,,5390290000000,2015-05-20,2015-11-18,7,49990.0,49990.0,,,,6074200000000000,,,,
TCV/022/2015/SMDHC/CPJ,Museu Afro Brasil,Akpalô,Convênio,,7258960000000,,,0,49930.2,49930.2,,,,201404000000,,,,
TCV/023/2015/SMDHC/CPJ,Comunidade Nova Civilização,"Escola Livre de Comunicação, Cultura e Cidadania",Convênio,,7761400000000,2015-05-20,2016-01-18,9,50000.0,50000.0,,,,6074200000000000,,,,
TCV/024/2015/SMDHC/CPJ,Instituto Pombas Urbanas,Território Maravilha,Convênio,,5416360000000,2015-05-20,2015-11-18,7,50000.0,50000.0,,,,6074200000000000,,,,
TCV/025/2015/SMDHC/CPJ,Associação Centro de Arte e Educação São Mateus em Movimento,Juventude em Movimento,Convênio,,14315300000000,2015-05-15,2016-01-13,9,50000.0,50000.0,,,,6074200000000000,,,,
TCV/019/2014/SMDHC/CPPSR,CEDECA: Centro de Defesa dos Direitos Humanos da Criança e Adolescente Interlagos,Projeto Oficina,Convênio,,3129200000000,2015-07-01,2016-06-30,12,561478.38,561478.38,,,,6074200000000000,,,,
TCV/028/2015/SMDHC/CPD,"UNAS: União de Núcleos, Associações dos Moradores de Heliópolis e Região",Blitz Jovem,Convênio,,38883700000000,2015-08-12,2016-08-10,13,135000.0,135000.0,,,,6074200000000000,,,,
TCV/029/2015/SMDHC/CPD,CCJA: Centro Comunitário Jardim Autódromo,Prrojetos Sócio-Educativos Voltados à Prevenção do Uso de Drogas Entre Adolescentes e Jovens,Convênio,,57184700000000,2015-07-01,2016-06-29,12,135000.0,135000.0,,,,201601000000,,,,
TCV/040/2015/SMDHC/CPLGBTI,Associação Koinonia,Programa Transcidadania,Convênio,,113248000000,2015-05-04,2017-05-03,25,987600.0,987600.0,,,,6074200000000000,,,,
TCV/043/2015/SMDHC/CPD,Associação Sabiá,Cidadania Rodante nas Ruas da Luz,Convênio,,5590600000000,2015-08-03,2016-10-01,15,700000.0,700000.0,,,,6074200000000000,,,,
TCV/060/2015/SMDHC/CPD,AMHD: Associação Maria Helen Drexel,Prrojetos Sócio-Educativos Voltados à Prevenção do Uso de Drogas Entre Adolescentes e Jovens,Convênio,,44006200000000,2015-11-09,2016-11-07,13,104448.0,104448.0,,,,6074200000000000,,,,
TCV/061/2014/SMDHC/CPIPTD,SEFRAS - Ação Social Franciscana,Promoção de Direitos e Orientação à População Migrante no Centro de Referência e Acolhida para Imigrantes de São Paulo,Convênio,,11861100000000,2015-10-29,2016-10-27,13,568800.0,568800.0,,,,6074200000000000,,,,
TCV/062/2015/SMDHC/CPD,CCL: Cáritas Campo Limpo,Mãe que Acolhe,Convênio,,64033100000000,2015-11-03,2016-11-01,13,126193.2,126193.2,,,,6074200000000000,,,,
TCV/116/2015/SMDHC/CPDDH,Associação Rede Cidadã Multicultural,Capacitação de Entidades,Convênio,,11223900000000,2015-11-10,2017-01-08,15,525000.0,525000.0,,,6074200000000000,6074200000000000,,,,
TCV/157/2015/SMDHC/CPLGBTI,Associação Cultural Mix Brasil,23° Festival Mix Brasil de Cultura da Diversidade,Convênio,,4127580000000,2015-12-04,2016-12-02,13,30000.0,30000.0,,,,6074200000000000,,,,
TCV/158/2015/SMDHC/CPLGBTI,"UNAS: União de Núcleos, Associações dos Moradores de Heliópolis e Região",Implementação do Centro de Cidadania LGBT da Zona Sul,Convênio,,38883700000000,2015-12-01,2017-01-29,14,667993.72,667993.72,,,6074200000000000,6074200000000000,,,,
TCV/001/2016/SMPM/CPM,AMZOL: Associação de Mulheres da Zona Leste,Gestão de Centro de Referência da Mulher de São Miguel Paulista,Convênio,,57999500000000,2016-02-12,2017-02-11,13,395051.92,395051.92,,,6074200000000000,6074200000000000,,,,
TCV/064/2016/SMDHC/CPLGBTI,CRDC: Centro de Recreação e Desenvolvimento da Criança Especial,São Paulo de Todas as Cores,Convênio,,7396490000000,2016-08-26,2016-12-25,5,400000.0,400000.0,,,,6074200000000000,,,,
TCV/065/2016/SMDHC/CPJ,CEMJ: Centro de Estudos e Memória da Juventude,Centro de Cidadania LGBT Zona Norte,Convênio,,56096100000000,2016-08-31,2016-12-31,5,270443.77,270443.77,,,6074200000000000,6074200000000000,,,,
TCV/058/2016/SMDHC/CPM,Associação a Mulher e o Movimento Hip Hop,Hip Hop Mulheres,Convênio,,10715200000000,2016-09-16,2016-10-16,2,345400.0,345400.0,,,,6074200000000000,,,,
TCV/003/2016/SMPM/CPM,UPM: União Popular de Mulheres de Campo Limpo e Adjacências,"Casa de Acolhimento Provisório de Curta Duração, na Zona Norte de São Paulo",Convênio,,57395700000000,2016-12-06,2018-12-05,25,3474108.96,3474108.96,,,6074200000000000,6074200000000000,,,,
TCL/003/2016/SMPM/CPM,UPM: União Popular de Mulheres de Campo Limpo e Adjacências,"Casa de Acolhimento Provisório de Curta Duração, na Zona Norte de São Paulo",Colaboração,,57395700000000,2018-12-06,2025-11-05,84,13136110.47,13136110.47,,,6074200000000000,6074200000000000,,,,
TFM/002/2017/SMDHC/CPLGBTI,CRDC: Centro de Recreação e Desenvolvimento da Criança Especial,Manutenção das ações no Centro de Cidadania LGBT - Zona Leste,Fomento,,7396490000000,2017-01-28,2017-07-27,7,301240.0,301240.0,,,,6074200000000000,,,,
TFM/003/2017/SMDHC/DEDH,Associação Instituto de Política e Formação Cidadã - Escola de Governo,Formação em Direitos Humanos e Cidadania: Teoria e Prática,Fomento,,67004600000000,2017-11-14,2018-01-13,3,150000.0,150000.0,,,6074200000000000,6074200000000000,,,,
TFM/052/2018/SMDHC/CPM,Instituto Herdeiros do Futuro,"Manutenção no Centro de Referência da Mulher de Capão Redondo, nessa região, na Cidade de São Paulo",Fomento,,8346100000000,2018-04-19,2018-10-18,7,120129.4,120129.4,,,6074200000000000,6074200000000000,,,,
TFM/071/2018/SMDHC/CPDDH,Cáritas Brasileira - Regional São Paulo,Exposição Biográfica - Dom Paulo Evaristo Arns,Fomento,,33654400000000,2018-06-07,2018-12-06,7,380000.0,380000.0,,,6074200000000000,6074200000000000,,,,
TFM/001/2018/SMDHC/DEDH,Polo Cultural - Educação e Arte,Implementação e execução da Programação Sócio-Cultural da CONADP 2018,Fomento,,2883070000000,2018-07-06,2018-09-04,3,286000.0,286000.0,,,6074200000000000,6074200000000000,,,,
TFM/001/2018/SMDHC/CPIR,Associação Assistencial Liberdade Canto e Dança,Projeto de formação trajetórias do africano no espaço geográfico brasileiro,Fomento,,58378400000000,2018-07-18,2018-10-17,4,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/002/2018/SMDHC/DEDH,ONG Cecidiaidelcio Centro Esportivo e Cultura para Todos,"Promoção do encontro anual ""Hermelino mais Humano""",Fomento,,18634100000000,2018-07-27,2018-09-25,3,15000.0,15000.0,,,6074200000000000,6074200000000000,,,,
TFM/003/2018/SMDHC/DEDH,Instituto Vladimir Herzog,"Usina de Valores - ""Direitos Humanos na perspectiva de coletivos religiosos""",Fomento,,11150900000000,2018-10-04,2019-10-02,13,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/004/2018/SMDHC/DEDH,"Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade",IDEAS Cidadania,Fomento,,2097760000000,2018-11-01,2019-11-30,13,615000.0,615000.0,,,6074200000000000,6074200000000000,,,,
TFM/005/2018/SMDHC/CPCA,IOK: Instituto Olga Kos de Inclusão Social,I Jornada Olga Kos - Inclusão da Pessoa com Deficiência,Fomento,,8745680000000,2018-11-22,2019-02-21,4,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/006/2018/SMDHC/CPPSR,SEFRAS - Ação Social Franciscana,Barbearia Solidária da População em Situação de Rua,Fomento,,11861100000000,2018-11-28,2019-06-19,8,20000.0,20000.0,,,6074200000000000,6074200000000000,,,,
TFM/006/2018/SMDHC/DEDH,Instituto Vladimir Herzog,GTP Territórios,Fomento,,11150900000000,2018-11-30,2019-07-29,9,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TCL/002/2018/SMDHC/CPPSR,Instituto BECEI,POT PopRua,Colaboração,,19631300000000,2018-11-05,2019-08-31,10,121849.0,121849.0,,,6074200000000000,6074200000000000,,,,
TFM/020/2019/SMDHC/CPJ,"Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade",Juventude Paulistana,Fomento,,2097760000000,2019-04-18,2019-05-18,2,200000.0,200000.0,,,6074200000000000,6074200000000000,,,,
TFM/030/2019/SMDHC/CPDDH,"Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade",Semana da Cidadania e Solidariedade o Resgatador,Fomento,,2097760000000,2019-06-14,2019-07-14,2,400000.0,400000.0,,,6074200000000000,6074200000000000,,,,
TFM/031/2019/SMDHC/CPDDH,"Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade",Clama Brasil Cidadania no Itaim Paulista,Fomento,,2097760000000,2019-06-19,2019-07-19,2,280000.0,280000.0,,,6074200000000000,6074200000000000,,,,
TFM/041/2019/SMDHC/CPCA,ARCO - Associação Beneficente,Fênix - Trabalho de Resiliência com famílias que possuem crianças com idade de 1 a 6 anos,Fomento,,66862700000000,2019-08-26,2020-08-25,13,30000.0,30000.0,,,6074200000000000,6074200000000000,,,,
TFM/042/2019/SMDHC/CPIPTD,CDHIC: Centro de Direitos Humanos e Cidadania do Imigrante,Espaço Migrantes: Promovendo a Cidadania de Imigrantes e Refugiados em São Paulo,Fomento,,11233900000000,2019-08-26,2020-08-24,13,120000.0,120000.0,,,6074200000000000,6074200000000000,,,,
TFM/045/2019/SMDHC/CPCA,AMHD: Associação Maria Helen Drexel,Inovare,Fomento,,44006200000000,2019-08-26,2020-08-24,13,80000.0,80000.0,,,6074200000000000,6074200000000000,,,,
TFM/043/2019/SMDHC/CPCA,Associação Fazendo História,Famílias Acolhedoras - Uma Prioridade,Fomento,,7325040000000,2019-08-28,2020-02-26,7,40000.0,40000.0,,,6074200000000000,6074200000000000,,,,
TFM/044/2019/SMDHC/CPPSR,UNISOL Brasil - Central de Cooperativas e Empreendimentos Solidários do Brasil,Estampavira,Fomento,,7293590000000,2019-09-06,2020-04-02,8,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/048/2019/SMDHC/CPCA,Associação Fazendo História,"Suporte Técnico e Qualificação dos Conselhos Tutelares de São Paulo - Brasilândia, Vila Maria e Sé",Fomento,,7325040000000,2019-09-18,2020-03-18,7,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/049/2019/SMDHC/CPCA,Arrastão Movimento de Promoção Humana,Arrastão Social,Fomento,,43082200000000,2019-09-25,2020-08-24,12,130000.0,130000.0,,,6074200000000000,6074200000000000,,,,
TFM/055/2019/SMDHC/CPPSR,Instituto BECEI,POT PopRua,Fomento,,19631300000000,2019-09-25,2020-01-24,5,68400.0,68400.0,,,6074200000000000,6074200000000000,,,,
TFM/058/2019/SMDHC/CPLGBTI,Instituto Omindaré,Um Olhar Transversal,Fomento,,13898400000000,2019-10-08,2020-04-07,7,70000.0,70000.0,,,6074200000000000,6074200000000000,,,,
TFM/061/2019/SMDHC/CPPSR,FLACSO Brasil: Faculdade Latino-Americana de Ciências Sociais,Fortalecimento do Núcleo de Defesa dos Direitos Humanos da População em Situação de Rua e Catadores de Materiais Recicláveis,Fomento,,27819900000000,2019-10-25,2021-05-28,20,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/062/2019/SMDHC/CPCA,Associação Cedro do Líbano de Proteção à Infância,Encantadores de História,Fomento,,62851800000000,2019-11-06,2020-11-30,13,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/063/2019/SMDHC/DEDH,Cáritas Brasileira - Regional São Paulo,"Dom Paulo Evaristo Arns, 95 Anos",Fomento,,33654400000000,2019-11-07,2020-05-07,7,335000.0,335000.0,,,6074200000000000,6074200000000000,,,,
TFM/065/2019/SMDHC/CPCA,IOK: Instituto Olga Kos de Inclusão Social,II Jornada Olga Kos - Inclusão da Pessoa com Deficiência Intelectual,Fomento,,8745680000000,2019-11-13,2020-02-12,4,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/066/2019/SMDHC/CPCA,Associação Beneficente Santa Fé,Oficina da Linguagem,Fomento,,71729600000000,2019-11-13,2020-11-11,13,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/068/2019/SMDHC/CPM,INDES: Instituto para o Desenvolvimento Sustentável,Tempo de Despertar - Reflexão e Responsabilização de Homens Autores de Violência Contra a Mulher,Fomento,,7581970000000,2019-11-13,2021-07-27,21,130000.0,130000.0,,,6074200000000000,6074200000000000,,,,
TFM/064/2019/SMDHC/CPLGBTI,Grupo Pela VIDDA: Valorização Integração e Dignidade do Doente de Aids de São Paulo,Atendimento à População LGBT,Fomento,,67836300000000,2019-11-14,2020-05-14,7,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/073/2019/SMDHC/CPDDH,A Alternativa - Associação de Assistência ao Excepcional,Sentir-se Útil,Fomento,,53835700000000,2019-11-21,2020-05-21,7,49998.48,49998.48,,,6074200000000000,6074200000000000,,,,
TFM/074/2019/SMDHC/CPLGBTI,CEDEC: Centro de Estudos de Cultura Contemporânea,Mapeamento das Pessoas Trans no Município de São Paulo,Fomento,,48608300000000,2019-11-22,2020-09-21,11,266000.0,266000.0,,,6074200000000000,6074200000000000,,,,
TFM/072/2019/SMDHC/CPDDH,Fundação de Apoio à Universidade Federal de São Paulo,Smart Place (Departamento de Oftalmologia e ciências Visuais da Escola Paulista de Medicina/ Universidade Federal de São Paulo,Fomento,,7438000000000,2019-11-26,2022-04-27,30,200000.0,200000.0,,,6074200000000000,6074200000000000,,,,
TFM/078/2019/SMDHC/CPPI,SEFRAS - Ação Social Franciscana,"Cultura, Convivência e Lazer: Direitos para os Idosos e Idosas da Casa de Clara",Fomento,,11861100000000,2019-11-28,2020-03-28,5,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/067/2019/SMDHC/CPPSR,Instituto BECEI,Pop Rua Cisarte,Fomento,,19631300000000,2019-11-29,2020-05-29,7,80000.0,80000.0,,,6074200000000000,6074200000000000,,,,
TFM/081/2019/SMDHC/CPCA,Instituto Blandina Meirelles - Centro Comunitário e Creche Sinhazinha Meirelles,Família e Primeira infância,Fomento,,62391800000000,2019-12-27,2022-05-04,30,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/083/2019/SMDHC/CMMV,Instituto Vladimir Herzog,Livro A Vala,Fomento,,11150900000000,2019-12-27,2020-12-27,13,30000.0,30000.0,,,6074200000000000,6074200000000000,,,,
TFM/085/2019/SMDHC/CMMV,Instituto Vladimir Herzog,Territórios da Memória,Fomento,,11150900000000,2019-12-27,2020-12-27,13,100000.0,100000.0,,,6074200000000000,6074200000000000,,,,
TFM/079/2019/SMDHC/CPCA,Instituto Anglicano,Higiene e saúde na Educação Infantil,Fomento,,5401350000000,2019-12-30,2020-03-30,4,220000.0,220000.0,,,6074200000000000,6074200000000000,,,,
TFM/080/2019/SMDHC/CPIR,ABONG: Associação Brasileira de Organizações Não-Governamentais,O papel das OSCs na luta contra o racismo,Fomento,,68630600000000,2019-12-30,2020-04-29,5,30000.0,30000.0,,,6074200000000000,6074200000000000,,,,
TFM/082/2019/SMDHC/CPCA,Instituto Projeto Sonhar,Projeto Sonhar Famílias - Assitência Social em Domicílio,Fomento,,19616300000000,2019-12-30,2020-05-30,6,50000.0,50000.0,,,6074200000000000,6074200000000000,,,,
TFM/084/2019/SMDHC/CPJ,Instituto Tecnológico Inovação,Bora Inovar,Fomento,,7466220000000,2019-12-30,2021-04-01,17,58000.0,58000.0,,,6074200000000000,6074200000000000,,,,
TFM/086/2019/SMDHC/CPDDH,Instituto Tecnológico Inovação,Hora do Código,Fomento,,7466220000000,2019-12-30,2020-12-28,13,43300.0,43300.0,,,6074200000000000,6074200000000000,,,,
TFM/087/2019/SMDHC/CPDDH,CEPP: Centro de Estudos Paulista de Psiquiatria,Ambiente de Paz,Fomento,,51569700000000,2019-12-30,2020-12-28,13,286958.0,289958.0,,,6074200000000000,6074200000000000,,,,
TFM/089/2019/SMDHC/CPDDH,Associação Quintessa,Prêmio Impacto Público,Fomento,,13615800000000,2019-12-30,2020-12-28,13,630000.0,630000.0,,,6074200000000000,6074200000000000,,,,
TFM/015/2020/SMDHC/CPPSR,Centro de Convivência É de Lei,Ações Para População em Estado de Vulnerabilidade Social do Centro de São Paulo Durante Pandemia de COVID-19,Fomento,,4893580000000,2020-07-21,2020-10-20,4,195000.0,195000.0,,,6074200000000000,6074200000000000,,,,
